ìÂ;ìÀ
9.8171E-03;1.9634E-07
9.9931E-03;1.9986E-07
1.0579E-02;2.1158E-07
1.0600E-02;2.1201E-07
1.0683E-02;2.1367E-07
1.0829E-02;2.1657E-07
1.0915E-02;2.1830E-07
1.1196E-02;2.2393E-07
1.1235E-02;2.2469E-07
1.1308E-02;2.2616E-07
1.1327E-02;2.2654E-07
1.1339E-02;2.2678E-07
1.1431E-02;2.2862E-07
1.1459E-02;2.2918E-07
1.1462E-02;2.2924E-07
1.1467E-02;2.2933E-07
1.1604E-02;2.3209E-07
1.1644E-02;2.3289E-07
1.1716E-02;2.3432E-07
1.1735E-02;2.3469E-07
1.1802E-02;2.3604E-07
1.1834E-02;2.3669E-07
1.1848E-02;2.3697E-07
1.1874E-02;2.3749E-07
1.2019E-02;2.4038E-07
1.2042E-02;2.4084E-07
1.2109E-02;2.4218E-07
1.2162E-02;2.4324E-07
1.2271E-02;2.4542E-07
1.2281E-02;2.4563E-07
1.2365E-02;2.4730E-07
1.2433E-02;2.4866E-07
1.2488E-02;2.4976E-07
1.2625E-02;2.5250E-07
1.2642E-02;2.5284E-07
1.2842E-02;2.5684E-07
1.2897E-02;2.5794E-07
1.2939E-02;2.5878E-07
1.2960E-02;2.5921E-07
1.3041E-02;2.6083E-07
1.3157E-02;2.6314E-07
1.3179E-02;2.6358E-07
1.3201E-02;2.6401E-07
1.3348E-02;2.6696E-07
1.3392E-02;2.6783E-07
1.3457E-02;2.6913E-07
1.3467E-02;2.6934E-07
1.3516E-02;2.7033E-07
1.3778E-02;2.7556E-07
1.3798E-02;2.7595E-07
1.3800E-02;2.7601E-07
1.3805E-02;2.7610E-07
1.3839E-02;2.7677E-07
1.3931E-02;2.7862E-07
1.4030E-02;2.8061E-07
1.4132E-02;2.8264E-07
1.4203E-02;2.8405E-07
1.4282E-02;2.8564E-07
1.4287E-02;2.8573E-07
1.4300E-02;2.8599E-07
1.4330E-02;2.8661E-07
1.4337E-02;2.8674E-07
1.4341E-02;2.8681E-07
1.4383E-02;2.8767E-07
1.4421E-02;2.8841E-07
1.4482E-02;2.8964E-07
1.4545E-02;2.9091E-07
1.4667E-02;2.9335E-07
1.4692E-02;2.9383E-07
1.4722E-02;2.9445E-07
1.4750E-02;2.9501E-07
1.4753E-02;2.9506E-07
1.4821E-02;2.9642E-07
1.4824E-02;2.9648E-07
1.4897E-02;2.9793E-07
1.4904E-02;2.9808E-07
1.4938E-02;2.9877E-07
1.4946E-02;2.9892E-07
1.4965E-02;2.9929E-07
1.5074E-02;3.0149E-07
1.5104E-02;3.0209E-07
1.5136E-02;3.0272E-07
1.5191E-02;3.0382E-07
1.5227E-02;3.0454E-07
1.5234E-02;3.0467E-07
1.5238E-02;3.0477E-07
1.5272E-02;3.0544E-07
1.5414E-02;3.0829E-07
1.5429E-02;3.0859E-07
1.5698E-02;3.1397E-07
1.5750E-02;3.1499E-07
1.5770E-02;3.1540E-07
1.5785E-02;3.1570E-07
1.5870E-02;3.1740E-07
1.5888E-02;3.1777E-07
1.5916E-02;3.1833E-07
1.5977E-02;3.1954E-07
1.6013E-02;3.2027E-07
1.6088E-02;3.2176E-07
1.6092E-02;3.2183E-07
1.6125E-02;3.2250E-07
1.6168E-02;3.2336E-07
1.6264E-02;3.2528E-07
1.6334E-02;3.2667E-07
1.6384E-02;3.2768E-07
1.6472E-02;3.2945E-07
1.6512E-02;3.3025E-07
1.6531E-02;3.3062E-07
1.6583E-02;3.3167E-07
1.6625E-02;3.3250E-07
1.6697E-02;3.3394E-07
1.6716E-02;3.3433E-07
1.6727E-02;3.3453E-07
1.6743E-02;3.3485E-07
1.6749E-02;3.3498E-07
1.6804E-02;3.3608E-07
1.6810E-02;3.3621E-07
1.6937E-02;3.3874E-07
1.6988E-02;3.3977E-07
1.7025E-02;3.4049E-07
1.7066E-02;3.4131E-07
1.7131E-02;3.4262E-07
1.7407E-02;3.4815E-07
1.7631E-02;3.5262E-07
1.7649E-02;3.5297E-07
1.7676E-02;3.5351E-07
1.7719E-02;3.5439E-07
1.7740E-02;3.5480E-07
1.7839E-02;3.5677E-07
1.7855E-02;3.5709E-07
1.7883E-02;3.5767E-07
1.7930E-02;3.5860E-07
1.8082E-02;3.6163E-07
1.8085E-02;3.6169E-07
1.8091E-02;3.6182E-07
1.8140E-02;3.6281E-07
1.8154E-02;3.6309E-07
1.8218E-02;3.6435E-07
1.8234E-02;3.6469E-07
1.8236E-02;3.6473E-07
1.8307E-02;3.6614E-07
1.8329E-02;3.6657E-07
1.8360E-02;3.6720E-07
1.8487E-02;3.6974E-07
1.8517E-02;3.7033E-07
1.8544E-02;3.7087E-07
1.8591E-02;3.7182E-07
1.8591E-02;3.7182E-07
1.8735E-02;3.7469E-07
1.8795E-02;3.7590E-07
1.8797E-02;3.7594E-07
1.8809E-02;3.7618E-07
1.8877E-02;3.7754E-07
1.8894E-02;3.7788E-07
1.8963E-02;3.7926E-07
1.8986E-02;3.7972E-07
1.9037E-02;3.8075E-07
1.9075E-02;3.8149E-07
1.9128E-02;3.8255E-07
1.9169E-02;3.8337E-07
1.9195E-02;3.8389E-07
1.9368E-02;3.8736E-07
1.9377E-02;3.8754E-07
1.9411E-02;3.8821E-07
1.9493E-02;3.8985E-07
1.9495E-02;3.8991E-07
1.9518E-02;3.9036E-07
1.9623E-02;3.9246E-07
1.9677E-02;3.9354E-07
1.9700E-02;3.9401E-07
1.9782E-02;3.9565E-07
1.9808E-02;3.9617E-07
1.9885E-02;3.9770E-07
2.0003E-02;4.0006E-07
2.0006E-02;4.0012E-07
2.0014E-02;4.0028E-07
2.0332E-02;4.0664E-07
2.0434E-02;4.0869E-07
2.0550E-02;4.1100E-07
2.0725E-02;4.1450E-07
2.0766E-02;4.1532E-07
2.0769E-02;4.1537E-07
2.0793E-02;4.1586E-07
2.0838E-02;4.1677E-07
2.0934E-02;4.1869E-07
2.1078E-02;4.2156E-07
2.1079E-02;4.2157E-07
2.1199E-02;4.2398E-07
2.1327E-02;4.2655E-07
2.1549E-02;4.3098E-07
2.1564E-02;4.3128E-07
2.1629E-02;4.3258E-07
2.1810E-02;4.3620E-07
2.1826E-02;4.3651E-07
2.1844E-02;4.3689E-07
2.1844E-02;4.3689E-07
2.1844E-02;4.3689E-07
2.1844E-02;4.3689E-07
2.1844E-02;4.3689E-07
2.1844E-02;4.3689E-07
